breadth,stop_atr,target_atr,hold,trades_train,return_train,win_train,pf_train,dd_train,final_train,trades_oos,return_oos,win_oos,pf_oos,dd_oos,final_oos
0.5,1.75,3.0,12,22,0.13480097733781493,0.6818181818181818,2.724519177032317,-0.02293227486194505,113480097.73378149,30,0.21088403386483545,0.7,3.0834689565397695,-0.047786346134091856,121088403.38648354
0.46,1.25,3.0,10,24,0.1604363598502947,0.5833333333333334,2.618858386114427,-0.029221457282519004,116043635.98502947,36,0.2622117649829758,0.6388888888888888,2.7579291035810805,-0.04558888973942442,126221176.49829759
0.46,1.25,2.5,10,25,0.15304649384489855,0.64,2.5662130882530874,-0.027781853140109496,115304649.38448986,39,0.21776959840974563,0.6153846153846154,2.3866179920892954,-0.04558888973942442,121776959.84097457
0.46,1.25,2.5,12,25,0.15304649384489855,0.64,2.5662130882530874,-0.027781853140109496,115304649.38448986,37,0.2401891920554906,0.6486486486486487,2.6726713652510283,-0.04572336078536015,124018919.20554906
0.46,1.75,3.0,7,24,0.12976347860718196,0.6666666666666666,2.6184472611860774,-0.026114230881165077,112976347.86071819,35,0.21046246763059484,0.7428571428571429,3.151370562008071,-0.047786346134091856,121046246.76305948
0.5,1.5,3.0,7,24,0.14326744354452137,0.6666666666666666,2.612578576909813,-0.0294409938376115,114326744.35445213,36,0.18342167351980798,0.6388888888888888,2.197998350632887,-0.05685926765328887,118342167.3519808
0.46,1.75,2.5,12,25,0.1308127722174408,0.68,2.545113545490089,-0.0230254440022846,113081277.22174409,35,0.204640389070605,0.6857142857142857,2.7997055986536505,-0.047786346134091856,120464038.90706049
0.46,1.5,3.0,12,23,0.1590266486650218,0.6521739130434783,2.626044159477483,-0.028104547726378094,115902664.86650218,30,0.22524456412530025,0.6666666666666666,2.9080387084263615,-0.0558357893239304,122524456.41253002
0.5,1.5,2.5,10,25,0.1456197769762544,0.68,2.5174268801683093,-0.026927335605212953,114561977.69762543,36,0.16502665264451677,0.6111111111111112,2.0226899074665874,-0.05376182568355284,116502665.26445167
0.5,1.5,2.5,12,25,0.1456197769762544,0.68,2.5174268801683093,-0.026927335605212953,114561977.69762543,35,0.21504061104330363,0.6571428571428571,2.6075114214342308,-0.050762751109879746,121504061.10433036
0.5,1.75,3.0,10,23,0.1324583288554093,0.6521739130434783,2.6166702823172248,-0.03494541939342902,113245832.88554093,33,0.15489579428489453,0.6363636363636364,2.135702434275511,-0.047786346134091856,115489579.42848946
0.42,1.25,3.5,7,25,0.15426213136088784,0.6,2.486211526777035,-0.04207439358730168,115426213.13608877,40,0.21469970848214337,0.55,2.213568752117574,-0.054506931386598824,121469970.84821433
0.5,2.0,3.0,7,23,0.10758701966050976,0.6956521739130435,2.592666088625462,-0.021964917038693577,110758701.96605098,36,0.1293359501417457,0.6388888888888888,1.9802288494744842,-0.04051245748473347,112933595.01417457
0.46,2.0,3.5,7,23,0.11776362933110951,0.6521739130434783,2.5851637874623417,-0.02352758897788776,111776362.93311095,34,0.15981300451945435,0.6470588235294118,2.206223383379871,-0.04051245748473347,115981300.45194544
0.42,2.0,4.0,10,21,0.13470184871895619,0.6190476190476191,2.6648780076939143,-0.023310247491545123,113470184.87189563,27,0.18443523830517194,0.7037037037037037,3.0545766296194836,-0.04051245748473347,118443523.83051719
0.46,2.0,4.0,10,21,0.13470184871895619,0.6190476190476191,2.6648780076939143,-0.023310247491545123,113470184.87189563,26,0.1536051674956178,0.6923076923076923,2.7099812851624923,-0.04051245748473347,115360516.74956177
0.46,1.5,3.5,7,24,0.1548536378266414,0.625,2.50248160451665,-0.030549442457132602,115485363.78266414,33,0.17487655885207243,0.6060606060606061,2.2119346339100594,-0.04879651518398158,117487655.88520725
0.5,1.5,3.0,12,23,0.14775963501161526,0.6521739130434783,2.52147183199767,-0.03731650248690797,114775963.50116153,30,0.22524456412530025,0.6666666666666666,2.9080387084263615,-0.0558357893239304,122524456.41253002
0.38,2.0,3.0,12,29,0.13986871848421134,0.6896551724137931,2.411203321132033,-0.05997468124721592,113986871.84842113,32,0.1722977491623383,0.6875,2.7289983882301168,-0.05447880873342662,117229774.91623382
0.42,1.75,3.5,7,25,0.1299216183108418,0.64,2.3878813376786474,-0.0412435442868637,112992161.83108419,35,0.14647980728718846,0.6,2.0275438195898956,-0.047786346134091856,114647980.72871885
0.42,2.0,3.5,7,24,0.11537616178685628,0.6666666666666666,2.4376252034720642,-0.023788629447902002,111537616.17868564,35,0.15965809567683764,0.6571428571428571,2.153307545096139,-0.04051245748473347,115965809.56768376
