breadth,stop_atr,target_atr,hold,trades,return,win_rate,pf,dd,final,score
0.5,1.5,3.0,12,53,0.4392517396712876,0.660377358490566,2.86468153406821,-0.055783346111989165,143925173.96712875,11.903105070812662
0.46,1.75,3.0,7,59,0.3721805186122651,0.711864406779661,2.864647992748602,-0.06784155255752294,137218051.8612265,11.832444933666894
0.5,1.25,4.0,7,61,0.5609050722173188,0.5737704918032787,2.8053616361816682,-0.06982319263938108,156090507.22173187,11.776128545214466
0.42,2.0,3.0,10,57,0.3706694670339652,0.6842105263157895,2.8431353588871433,-0.058976168611724306,137066946.70339653,11.747933344592465
0.5,2.0,4.0,10,47,0.33455197487903443,0.6595744680851063,2.8030346810926186,-0.04356778540750571,133455197.48790345,11.55788552995001
0.46,1.25,4.0,7,61,0.5347829235396093,0.5737704918032787,2.754206170550212,-0.07731451755251108,153478292.35396093,11.541638871554365
0.5,2.0,4.0,7,54,0.35727339561088645,0.6851851851851852,2.7890943293286563,-0.037747108512382554,135727339.56108865,11.52903641792858
0.42,1.75,4.0,10,51,0.3985029021742075,0.6274509803921569,2.768884925119413,-0.06734750240057748,139850290.21742076,11.47174140047118
0.38,2.0,3.5,10,61,0.3994201578891494,0.6721311475409836,2.7677769753563752,-0.06663017559247837,139942015.78891495,11.47081952889546
0.46,2.0,3.0,10,56,0.3511077192472165,0.6785714285714286,2.7589332390109673,-0.06938717561227283,135110771.92472166,11.386075658913521
0.46,1.5,3.0,10,59,0.4618916150289212,0.6440677966101694,2.735056385735394,-0.09742470883474008,146189161.5028921,11.385608193383636
0.46,1.75,3.0,12,52,0.3614306796483904,0.6538461538461539,2.753521084744847,-0.08706772571779954,136143067.96483904,11.364673463461186
0.5,1.75,3.0,12,52,0.36128011130582993,0.6538461538461539,2.751139209976443,-0.07272641109398713,136128011.130583,11.362166053356916
0.42,2.0,4.0,10,48,0.34183845349762376,0.6458333333333334,2.7474718799253517,-0.06547146031398801,134183845.34976237,11.331281909708705
0.46,1.25,4.0,12,53,0.49446306136043194,0.5471698113207547,2.704457985553436,-0.10209410528757033,149446306.1360432,11.288606441496427
0.42,2.0,3.0,12,58,0.37017663463391903,0.6551724137931034,2.720582683679087,-0.07338032973732082,137017663.4633919,11.248575825171262
0.38,1.5,4.0,12,56,0.4730145509555137,0.5892857142857143,2.6785170921940167,-0.10656026790494197,147301455.09555137,11.163267071493394
0.5,2.0,3.0,10,54,0.33060992682051116,0.6851851851851852,2.6910176556076864,-0.05336578182935141,133060992.68205112,11.10225691759584
0.42,1.75,4.0,7,58,0.4227794320914018,0.6379310344827587,2.6626919302624317,-0.06458094808760696,142277943.20914018,11.073153230821463
0.5,1.75,3.0,7,59,0.3453494045519001,0.6949152542372882,2.681305483046782,-0.06480827886064866,134534940.45519,11.072912960020568
0.38,2.0,3.0,10,64,0.3709838108443153,0.671875,2.652355370085037,-0.0617246750892336,137098381.08443153,10.983136703639845
0.46,1.25,3.0,12,57,0.43201684102895466,0.6140350877192983,2.633749139482287,-0.09231451569475244,143201684.10289547,10.951557895496691
0.38,2.0,4.0,12,50,0.3153325400489957,0.64,2.6613487777696543,-0.09074805356459051,131533254.00489958,10.947353624345318
0.38,1.25,3.5,10,64,0.49118782863666244,0.609375,2.6136993430980753,-0.08373654086389745,149118782.86366624,10.934585680597017
0.46,1.5,4.0,12,50,0.4344230523151693,0.58,2.6298139953836266,-0.10769265108041887,143442305.23151693,10.928832708309466
0.38,1.5,3.5,10,61,0.45184327194370155,0.639344262295082,2.607426335166601,-0.08474033831258032,145184327.19437015,10.871145656568569
0.42,1.75,3.0,7,62,0.3511109795826519,0.6774193548387096,2.6205830863589146,-0.06542667582710736,135111097.9582652,10.83460095484669
0.42,1.75,3.0,10,58,0.3700952886537827,0.6379310344827587,2.5985674647037764,-0.08952866060195194,137009528.86537826,10.75149736889205
0.5,1.25,4.0,12,52,0.46866881491788837,0.5384615384615384,2.561300644666771,-0.06137139099618001,146866881.49178883,10.710108775009962
